5031922AEROLEP                                     aer.inhal.c/adap.x 250ds00047022NNAustral         00016676420220606002060074620107798160690096025010SNN00
9954280TRACURIX                                    50 mg a.x 25 x 5 ml     00000000NNRichmond        00284654020220607002001945428007795348250431002590NNN00
5832001TREXAM                                      500 mg f.a.x 1          00000000NNRichmond        02182547020220607002001944443207795348251179000110NNN00
6287841TRINOMIA                                    100/40/10 mg c ps.x 28  00000000NNRichmond        00059859120220602012021945039717798047980036002810SNN00
6287711TRINOMIA                                    100/40/5 mg c ps.x 28   00000000NNRichmond        00051127420220602012021945039617798047980043002810SNN00
9953547TRIVENZ                                     comp.rec.x 30           00000000NNRichmond        00652765220220607003001945354707795348003242003010NNN00
5858712VELTAMIR                                    caps.x 10               00000000NNRichmond        00009694920220607002001944381707795348424832001010NNN00
6240711VIRONTAR                                    comp.rec.x 60           00000000NNRichmond        01017071120220607003001944908307795348001705006010NNN00
6351971VIRONTAR N                                  comp.rec.y ran.x 30     00000000NNRichmond        00576397820220607003001945144907795348002825003010NNN00
5265323VIRORREVER 600                              600 mg comp.x 30        00000000NNRichmond        00290334620220607003001943449807795348250189003010NNN00
6101971VUCLODIR                                    300 mg comp.x 30        00000000NNRichmond        00086333220220607003001944743907795348000357003010NNN00
4487211XALIPLAT                                    100 mg f.a.x 1          00000000NNRichmond        00596769820220607003001942228807795348002856000110NNN00
4487131XALIPLAT                                    50 mg f.a.x 1           00000000NNRichmond        00298386920220607003001942228707795348002863000110NNN00
4665176ZETAVUDIN                                   comp.rec.x 60           00000000NNRichmond        00174903220220607003001942558307795348003037006010NNN00
4124613ZETROTAX RICHMOND                           10 mg/ml jbe.x 240 ml   00000000NNRichmond        00021254720220607003001941962307795348001859000110NNN00
6556551ZEVUVIR                                     50 mg comp.rec.x 30     00000000NNRichmond        00478978920220607003001945614807795348421831003010NNN00
6605711ZEVUVIR ABC PACK                            comp.rec.x 30+30        00000000NNRichmond        00806733720220607003001945831507795348423354006010NNN00
6605681ZEVUVIR L PACK                              comp.rec.x 30+30        00000000NNRichmond        00478978920220607003001945762107795348423446006010NNN00
5522425ZIATIR                                      100 mg comp.rec.x 180   00000000NNRichmond        04020319620220607002001944587107795348250844018010NNN00
5522553ZIATIR                                      400 mg comp.rec.x 30    00000000NNRichmond        02672863720220607002001944587207795348250851003010NNN00
9958954ZUTRAB                                      100 mg/4 ml a.x 1       00000000NNRichmond        01259710320220607003001945895407795348424498000111NNN00
9958955ZUTRAB                                      400 mg/16 ml a.x 1      00000000NNRichmond        04590971820220607003001945895507795348424504000131NNN00
6373421ADEMPAS                                     1.0 mg comp.x 42        00000000NNBayer (PH)      05480362820220607012002145240607795320000603004210NNN00
6373551ADEMPAS                                     1.5 mg comp.x 42        00000000NNBayer (PH)      05480362820220607012002145240707795320000610004210NNN00
6373682ADEMPAS                                     2.0 mg comp.x 84        00000000NNBayer (PH)      10960725620220607012002145241107795320000658008410NNN00
6373712ADEMPAS                                     2.5 mg comp.x 84        00000000NNBayer (PH)      10960725620220607012002145241207795320000665008410NNN00
5334971ANGELIQ                                     comp.rec.x 28           00000000NNBayer (PH)      00026474520220607012002143668407795320051001002810SNN00
5695391ASPIRINA PREVENT                            comp.cub.enterica x 20  00010116NNBayer (PH)      00002449020220607002082144150207793640232254002010SNN00
5695392ASPIRINA PREVENT                            comp.cub.enterica x 50  00031553NNBayer (PH)      00005346920220607002082144150307793640232261005020SNN00
5905001ASPIRINA PREVENT 325                        comp.cub.enterica x 30  00029322NNBayer (PH)      00005217420220607002082144487807793640000938003010SNN00
5905002ASPIRINA PREVENT 325                        comp.cub.enterica x 60  00052218NNBayer (PH)      00009291320220607002082144487907793640000945006030SNN00
4629951AVELOX                                      400 mg comp.rec.x 5     00000000NNBayer (PH)      00020347520220607013062142569107793640233381000510SNN00
4629952AVELOX                                      400 mg comp.rec.x 7     00000000NNBayer (PH)      00042558920220607013062142644407793640002512000730SNN00
5819421AVELOX I.V.                                 400 mg sol.p/inf.x 250ml00000000NNBayer (PH)      00033119220220607012062144381207793640002475000110NNN00
4139064BETAFERON                                   15 env.indiv.+kit c/jga.00000000NNBayer (PH)      06070992620220607013002144367007795320051124001510NNN00
6390261BLUSIRI                                     Disp.intrauterino x 1   00000000NNBayer (PH)      00377981320220607012002145314107795320000566000110NNN00
2215151CICLOCUR                                    blist.grag.x 21         00000000NNBayer (PH)      00015604620220607002022140826207896116865540002110SNN00
4352731CIPRO                                       50 mg/ml susp.x 100 ml  00169229NNBayer (PH)      00072049220220607013082142376807793640235972000110SNN00
3036601DIANE 35                                    blist.grag.x 21         00000000NNBayer (PH)      00016395620220607002002140066107795320010510002110NNN00
6233001EYLIA                                       40 mg/ml vial x 1       00000000NNBayer (PH)      02693017620220607013002145241307795320000320000110NNN00
4174111FEMIANE                                     grag.x 21               00000000ENBayer (PH)      00013198120220607002002141873507795320000870002110NNN00
3072401GYNOVIN                                     blist.grag.x 21         00000000ENBayer (PH)      00013872720220607002002140752607795320018318002110NNN00
5011131KOGENATE FS                                 1000 UI iny.x 1         00000000NNBayer (PH)      01187978020220607012002144264307793640215653000110NNN00
5011081KOGENATE FS                                 500 UI iny.x 1          00000000NNBayer (PH)      00593924120220607012002144264207793640215646000110NNN00
9959630KOVALTRY                                    1000 UI f.a. x 1        00000000NNBayer (PH)      01363311220220607012002145963007795320053302000111NNN00
9959631KOVALTRY                                    500 UI f.a. x 1         00000000NNBayer (PH)      00681655520220607012002145963107795320053296000111NNN00
6572261KYLEENA                                     Disp.intrauterino x 1   00000000NNBayer (PH)      00377981320220607012002145852707795320052145000110NNN00
0145062LUMINAL                                     comp.x 60               00077391NNBayer (PH)      00021454520220607303062141747707793640237402006010SNN00
0115441LUMINALETAS                                 comp.x 30               00031441NNBayer (PH)      00008672520220607303062140121107793640000464003010SNN00
3299631MESIGYNA                                    iny.IM a.x 1 ml         00000000ENBayer (PH)      00007757020220607002022141478507795320034912000110NNN00
2365721MICROGYNON                                  blist.grag.x 21         00000000ENBayer (PH)      00008692520220607002022140828807795320004410002110NNN00
4452481MICROLUT                                    grag.x 35               00000000ENBayer (PH)      00013753820220607012002142309607795320050417003510NNN00
3741321MICROVLAR                                   grag.x 21               00000000ENBayer (PH)      00006122520220607002022141369807795320041811002110NNN00
4458841MIRANOVA                                    grag.x 21               00000000ENBayer (PH)      00005022820220607012022142330107795320050431002110NNN00
4683151MIRENA                                      Disp.intrauterino x 1   00000000NNBayer (PH)      00377981320220607012002144642307501303451528000110NNN00
3111761MUPATEN VAGINAL                             600 mg blist.ov.x 1     00000000NNBayer (PH)      00012396020220607002022140278407501303436501000110SNN00
2793901MUPATEN VAGINAL                             cr.x 40 g               00000000NNBayer (PH)      00010754520220607002022140829207795320004816000110SNN00
5361972NEBIDO                                      1000 mg vial x 1 x 4 ml 00362004NNBayer (PH)      00154123420220607A13022145678207795320052084000110NNN00
5361971NEBIDO                                      iny.sol.a.x 1 x 4 ml    00362004NNBayer (PH)      00154123420220607A13002143781207703331510837000110SNN00
5541001NEXAVAR                                     200 mg comp.x 112       00000000NNBayer (PH)      11297312220220607013002145240407793640215585011210NNN00
9959164NUBEQA                                      300 mg comp.rec. x 112  00000000NNBayer (PH)      10986591520220607013002145916407795320053357011210NNN00
6128551PRIMOLUT NOR                                10 mg blist.comp.x 20   00070814NNBayer (PH)      00030149220220607012022145131707896116865991002010SNN00
0986751PRIMOSISTON                                 IM iny.a.x 1 ml         00000000NNBayer (PH)      00013010820220607002022140830407501303430509000110SNN00
0989481PRIMOSISTON                                 comp.x 30               00000000NNBayer (PH)      00012212220220607002022140830507896116866035003010SNN00
5017091PROGYNOVA                                   1 mg comp.x 28          00021318NNBayer (PH)      00009075920220607012022143063007795320050899002810SNN00
0990531PROGYNOVA                                   2 mg comp.x 28          00033207NNBayer (PH)      00014299720220607012022143074307795320050905002810SNN00
0990951PROLUTON DEPOT                              500 mg IM iny.a.ol.x 2ml00045798NNBayer (PH)      00019498320220607002022140831007501303419825000110SNN00
5987681QLAIRA                                      comp.rec.x 28           00000000NNBayer (PH)      00029275520220607012002144622107795320051247002810NNN00
6254261STIVARGA                                    40 mg tab.3 x 28        00000000NNBayer (PH)      14520525720220607013002145240307795320000528008410NNN00
0991441TESTOVIRON DEPOT                            250 mg IM iny.a.ol.x 1ml00161728NNBayer (PH)      00024953020220607A03022140831607795320007718000110SNN00
2718911TRIQUILAR                                   blist.grag.x 21         00000000ENBayer (PH)      00009328720220607002022140831707896116866172002110NNN00
9955938VENTAVIS                                    10 mcg/ml a.x 42 x 1 ml 00000000NNBayer (PH)      04903844120220607012002145593807795320052015004210NNN00
9955939VENTAVIS                                    20 mcg/ml a.x 42 x 1 ml 00000000NNBayer (PH)      04903844120220607012002145593907795320052008004210NNN00
6052551VISANNE                                     2mg 2 tabletas x 14 comp00000000NNBayer (PH)      00072198120220607012002144687807795320000047002810SNN00
5831971XARELTO                                     10 mg comp.x 10         00000000NNBayer (PH)      00146156720220607012022144341107793640991755001010NNN00
6151682XARELTO                                     15 mg comp.x 28         00000000NNBayer (PH)      00189993020220607012022144781007795320000245002810NNN00
6289682XARELTO                                     2.5 mg x 56 comp.       00000000NNBayer (PH)      00187131120220607012022145102507795320000689005610NNN00
6151711XARELTO                                     20 mg comp.x 14         00000000NNBayer (PH)      00100289920220607012022144781107795320000252001410NNN00
6151712XARELTO                                     20 mg comp.x 28         00000000NNBayer (PH)      00199668620220607012022144781207795320000269002830NNN00
4928011YASMIN                                      comp.rec.x 28           00000000ENBayer (PH)      00025969520220607012002143183107795320050912002810NNN00
5499682YASMINELLE                                  comp.rec.x 28           00000000ENBayer (PH)      00028369420220607012002145045707795320000504002810NNN00
5670551YAZ                                         comp.rec.x 28           00000000ENBayer (PH)      00031545320220607012002144223207795320051100002810NNN00
6167131YAZ METAFOLIN                               comp.rec.x 24+4         00000000NNBayer (PH)      00028687820220607012002144827307795320000382002810NNN00
9937143HUMIDERM                                    fr.x 200 ml             00000000NNSzama           00028232720220607001102283714307795354820369000110NNN00
0580197ACIDO ZOLEDRONICO IMA                       4 mg pvo.liof.x 1+solv. 00000000NNIMA             00455221520220606002002335091007798091910126000110NNN00
0652413AZOPANIM                                    200 mg comp.rec.x 30    00000000NNIMA             01513725820220606003002335769407798091910652003010NNN00
0652426AZOPANIM                                    400 mg comp.rec.x 30    00000000NNIMA             03077553920220606003002335769107798091910676003010NNN00
9953831AZZA                                        100 mg iny.liof.f.a.x 1 00000000NNIMA             03347027020220606003002335383107798091910393000110NNN00
0633184BICALUTAMIDA IMA                            50 mg comp.x 28         00000000NNIMA             00219966920220606003002335259907798091910287002810NNN00
9957009BINITIF                                     250 mg comp.x 30        00000000NNIMA             06288586420220606003002335700907798091910584003010NNN00
0670255CARLFIX                                     60 mg f.a.pvo.liof.x 1  00000000NNIMA             0934242782022060600300233598710             000111NNN00
0654326DANTROCRIS                                  20 mg pvo.liof.f.a. x 1200000000NNIMA             05514038420220606012002335921107798091910546001210NNN00
0630700DOCETAXEL SOL IMA                           20 mg f.a.x 1+diluy.    00000000NNIMA             00274994920220606003002335120007798091910133000111NNN00
0630713DOCETAXEL SOL IMA                           80 mg f.a.x 1+diluy.    00000000NNIMA             01023633320220606003002335119907798091910140000111NNN00
0630813DOXORUBICINA IMA                            50 mg liof.f.a.x 1      00000000NNIMA             00099632520220606003002335128407798091910164000110NNN00
0630684EPIRUBICINA IMA                             50 mg iny.liof.f.a.x 1  00000000NNIMA             00158531120220606002002335123707798091910188000110NNN00
0630697FLUDARABINA IMA                             50 mg iny.f.a.liof.x 1  00000000NNIMA             00410701320220606003002335116207798091910195000110NNN00
9954865FULL V                                      f.a.x 2 x5 ml+kit admin.00000000NNIMA             02903014020220606002002335486507798091910522000211NNN00
0630613GEMCITABINA IMA                             1000 mg pvo.liof.x 1    00000000NNIMA             00636343920220606003002335091207798091910119000110NNN00
0630600GEMCITABINA IMA                             200 mg pvo.liof.x 1     00000000NNIMA             00122616820220606003002335091107798091910102000110NNN00
0630842IDARUBICINA IMA                             10 mg liof.f.a.x 1      00000000NNIMA             00220999020220606003002335120207798091910218000110NNN00
0633171IMACAP                                      500 mg comp.rec.x 120   00000000NNIMA             01066638920220606003002335260007798091910294012010NNN00
9956592IMAXEL                                      20 mg/4 ml f.a.x 1      00000000NNIMA             00182952720220606003002335659207798091910553000111NNN00
9956511IMAXEL                                      80 mg/4 ml f.a.x 1      00000000NNIMA             00701824320220606003002335651107798091910560000111NNN00
0630626IRINOTECAN IMA                              100 mg f.a.x 1          00000000NNIMA             00469198920220606003002335092407798091910096000110NNN00
9953744MATIN                                       100 mg comp.rec.x 200   00000000NNIMA             05533432020220606002002335374407798091910362020010NNN00
9953743MATIN                                       400 mg comp.rec.x 30    00000000NNIMA             03895086320220606002002335374307798091910379003010NNN00
0661326NAUSEDRON                                   8 mg/4 ml a. x 1        00000000NNIMA             00035866820220606003002335856107798091910638000110NNN00
0630755OLIPTINO                                    100 mg liof.f.a.x 1     00000000NNIMA             00560746520220606003002335121107798091910232000110NNN00
0630742OLIPTINO                                    50 mg liof.f.a.x 1      00000000NNIMA             00366526720220606003002335121207798091910225000110NNN00
0630771PACLITAXEL IMA                              100 mg sol.iny.x 1      00000000NNIMA             00634338920220606003002335115907798091910256000111NNN00
0630784PACLITAXEL IMA                              150 mg sol.iny.x 1      00000000NNIMA             01054951120220606003002335116007798091910263000111NNN00
0630768PACLITAXEL IMA                              30 mg sol.iny.x 1       00000000NNIMA             00207113720220606003002335115807798091910249000111NNN00
0630797PACLITAXEL IMA                              300 mg sol.iny.x 1      00000000NNIMA             01926000720220606003002335116107798091910270000111NNN00
0630597PEMETREXED IMA                              500 mg pvo.liof.x 1     00000000NNIMA             03609212420220606003002335091307798091910089000110NNN00
0649542PROPOVAN                                    10 mg/ml a.x 5 x 20 ml  00000000NNIMA             00226007220220606002002335593007798091910508000510NNN00
0647871QUERAMUS                                    100 mg pvo.liof.x 1     00000000NNIMA             02533558120220606003002335416007798091910416000110NNN00
0658342REMIFAS                                     5 mg f.a.x 5 x 5 ml     00000000NNIMA             00223348420220606614002335809407798091910614000510NNN00
9957600ROPI                                        10 mg/ml a.x 5 x 20 ml  00000000NNIMA             00109283720220606003002335760007798091910478000510NNN00
9957601ROPI                                        2 mg/ml a.x 5 x 20 ml   00000000NNIMA             00129969320220606003002335760107798091910454000510NNN00
9955712ROPI                                        7.5 mg/ml a.x 5 x 20 ml 00000000NNIMA             00074275320220606003002335571207798091910461000510NNN00
0649113SEVOCRIS                                    env.x 250 ml            00000000NNIMA             00243673220220606012002335554907798091910447000110NNN00
9954838SIMBIOTE                                    3.5 mg pvo.liof.x1      00000000NNIMA             03671100020220606002002335483807798091910515000110NNN00
0653113TYGARONA                                    250 mg comp.x 120       00000000NNIMA             06691960820220606003002335769307798091910645012010NNN00
0664468URIMA                                       10 mg comp.rec.x 30     00000000NNIMA             00051792020220606002002335987207798091910744003010NNN00
0664455URIMA                                       5 mg comp.rec.x 30      00000000NNIMA             00045714520220606002002335987307798091910737003010NNN00
9921040ASSY 2000 PEINE                             acer.temp.dien.microacan00000000NNAssistance      00009990020220606001102992104007791940020007000110NNN00
9941277ASSY MAX                                    conc.doble acci¢n x 60ml00000000NNAssistance      00009390020220606001102994127707791940132984000110NNN00
9948311ASSY PACK AHORRO MAX                        loc.conc.x 60ml+peine ac00000000NNAssistance      00014990020220606001102994831107791940000337000110NNN00
9911698ASSY PEINE                                  peine acero templado x 100000000NNAssistance      00008490020220606001102991169807791940123562000110NNN00
9944358ASSY POWER                                  loc.bifasica x 60 ml    00000000NNAssistance      00009890020220606001102994435807791940000191000110NNN00
9946683ASSY TERMINATOR                             loc.thermo-exterm x 90ml00000000NNAssistance      00013990020220606001102994668307791940000283000110NNN00
9951348FORMULY PIEL ALTA EXIGENCIA                 3 en 1 cr.x 50 g        00000000NNAssistance      00031990020220606001102995134807791940000368000110NNN00
9944900FORMULY PIEL ANTI-ARRUGAS TOTAL             Trat.Multi-repa.cr.x 50g00000000NNAssistance      00028590020220606001102994490007791940000221000110NNN00
9951349FORMULY PIEL CORRECCIàN TOTAL               3 en 1 cr.x 50          00000000NNAssistance      00028990020220606001102995134907791940000382000110NNN00
9946419FORMULY PIEL LIFTING TOTAL                  cr.x 50 g               00000000NNAssistance      00028590020220606001102994641907791940000399000110NNN00
9943048FORMULY PIEL PRIMEROS SIGNOS                trat.correct.+25a¤osx50g00000000NNAssistance      00018990020220606001102994304807791940000085000110NNN00
9944901FORMULY PIEL-ANTI-MANCHAS TOTAL             Trat.Multi/correct.x 50g00000000NNAssistance      00028590020220606001102994490107791940000214000110NNN00
9943046FORMULY PIEL-DEMAQUILLANTE GLOBAL           rostro y ojos emul.x200g00000000NNAssistance      00015990020220606001102994304607791940000092000110NNN00
9951347FORMULY PIEL-HYDRAMAX THERMAL               3 en 1 cr.x 50 g        00000000NNAssistance      00025790020220606001102995134707791940000375000110NNN00
9944201FORMULY PIEL-HYDRAMAX THERMAL               agua termal spray x155ml00000000NNAssistance      00018090020220606001102994420107791940000177000110NNN00
9932367GL PEINE                                    peine piojos met lico   00000000NNAssistance      00006490020220606001102993236707791940123647000110NNN00
9917009TONEKIN                                     Slim caps.blandas x 30  00000000NNAssistance      00025790020220606001102991700907791940000047003010NNN00
9937001TONEKIN CELULITIS                           trat.4acc.en1emuls.x200g00000000NNAssistance      00021990020220606001102993700107791940000078000110NNN00
9942237TONEKIN ESTRIAS                             emuls.x 150 g           00000000NNAssistance      00017990020220606001102994223707791940133028000110NNN00
9945503TONEKIN GLUTEOS                             gel-crema x 150 g       00000000NNAssistance      00021990020220606001102994550307791940000238000110NNN00
9942238TONEKIN MICRO-PEELING                       gel microgranul.x 150 g 00000000NNAssistance      00016990020220606001102994223807791940133042000110NNN00
9943977TONEKIN PIERNAS                             emulsi¢n x 150 g        00000000NNAssistance      00014990020220606001102994397707791940000146000110NNN00
9942236TONEKIN SLIM & FIRM                         emuls.x 200 g           00000000NNAssistance      00023990020220606001102994223607791940133035000110NNN00
9959280AMINOCUP                                    comp. x 30              00000000NNDr.Madaus       00009950020220606001103665928007798028623907003010NNN00
9956053ARNICA GEL                                  gel x 25 g              00000000NNDr.Madaus       00003820020210714001103665605317798028623747000110NNN00
9946278ARNICA GEL                                  gel x 75 g              00000000NNDr.Madaus       00010850020220606001103664627807798028620098000130NNN00
9947061ARNICA OIL                                  aceite p/masajes x 100ml00000000NNDr.Madaus       00014000020220606001103664706107798028620135000110NNN00
9958893ARNICA ROLLON                               gel x 90 g              00000000NNDr.Madaus       00009100020220606001103665889307798028623983000110NNN00
9916019BOLUS OLIGOPLEX                             pvo.x 50 g              00000000NNDr.Madaus       00013200020220606002003661601907798028620036000110NNN00
9916025CASCARA SAGRADA OLIGOPLEX                   comp.x 30               00000000NNDr.Madaus       00005850020220606002003661602507798028620012003030NNN00
9936280CASCARA SAGRADA OLIGOPLEX                   disp.blist.x 20 x10 comp00000000NNDr.Madaus       00040500020220606002003663628007798028623136020010NNN00
9959497CREMA FACIAL BIOREPARADORA                  pomo x 60 g             00000000NNDr.Madaus       00012100020220606001103665949707798028623990000110NNN00
9949110ECHINAGRIP                                  env.x 60 ml             00000000NNDr.Madaus       00014400020220606001003664911007798028623877000110NNN00
9953964OMS CAPILARES SIN PARABENOS                 avena+kerat.bals.x 250ml00000000NNDr.Madaus       00009950020220606001103665396407798028623693000110NNN00
9950111OMS CAPILARES SIN PARABENOS                 avena+keratina sh.x250ml00000000NNDr.Madaus       00008100020211206001103665011117798028623662000110NNN00
9953965OMS CAPILARES SIN PARABENOS                 damasco+ceram.bals.x 25000000000NNDr.Madaus       00007300020220216001103665396517798028623709000110NNN00
9950113OMS CAPILARES SIN PARABENOS                 damasco+ceram.sh.x 250ml00000000NNDr.Madaus       00010200020220606001103665011307798028623679000110NNN00
9950112OMS CAPILARES SIN PARABENOS                 ortiga+romero balsx250ml00000000NNDr.Madaus       00009950020220606001103665011207798028623686000110NNN00
9950114OMS CAPILARES SIN PARABENOS                 ortiga+romero sh.x 250ml00000000NNDr.Madaus       00010900020220606001103665011407798028623655000110NNN00
9949269OMS CORPORAL                                avena+karite emuls.x180g00000000NNDr.Madaus       00016900020220606001103664926907798028620203000110NNN00
9932027OMS CORPORAL                                cal‚nd.+karite cr.x 200g00000000NNDr.Madaus       00017500020220606001103663202707798028621767000110NNN00
9945495OMS CORPORAL                                gel fitot¢nico x 200 g  00000000NNDr.Madaus       00012100020220606001103664549507798028623013000110NNN00
9958640OMS CORPORAL                                man.y u¤. BioRep.cr.x90g00000000NNDr.Madaus       00009300020220606001103665864007798028623952000110NNN00
9958639OMS FACIAL LIMPIEZA                         agua micelar A+Z x200 ml00000000NNDr.Madaus       00010950020220606001103665863907798028623969000110NNN00
9957384OMS FACIAL LIMPIEZA                         cr.fl. cal‚ndula x200 ml00000000NNDr.Madaus       00014200020220606001103665738407798028623976000110NNN00
9957386OMS FACIAL LIMPIEZA                         gel purificante x 125 g 00000000NNDr.Madaus       00010900020220606001103665738607798028623808000110NNN00
9957385OMS FACIAL LIMPIEZA                         loc. dermocalman x130 ml00000000NNDr.Madaus       00010450020220606001103665738507798028623594000110NNN00
9959326SHAMPOO AVENA + KERATINA                    fr. x 300 ml            00000000NNDr.Madaus       00012950020220606001103665932607798028624010000110NNN00
9959843SHAMPOO ORTIGA + ROMERO                     bot. x 300 ml           00000000NNDr.Madaus       00012850020220606001103665984307798028624027000110NNN00
9951570VALEDORMIR                                  comp.x 40               00000000NNDr.Madaus       00009950020220606001003665157007798028620302004030NNN00
9951903BLOOMING                                    cepillo & peine p/beb‚  00000000NNGrimberg        00012000020220606001103815190307798158483471000210NNN00
9929919BLOOMING                                    clips x 8               00000000NNGrimberg        00004700020220606001103812991907798034747475000810NNN00
9925145BLOOMING                                    sach.x 80               00000000NNGrimberg        00056700020220606001103812514507798034740131008010NNN00
9938904BOQUILLA P/DUCHA BUCAL                      Clasica p/ÿWP70         00000000NNGrimberg        00025000020220606011103813890400073950318068000110NNN00
9957898BOQUILLA P/DUCHA BUCAL                      Limpiadoralingual p/WP7000000000NNGrimberg        00025000020220606011103815789800073950111195000110NNN00
9957899BOQUILLA P/DUCHA BUCAL                      Standard p/ WF-02E2     00000000NNGrimberg        00025000020220606011103815789900073950278881000110NNN00
9922613BUCAL BOX CAJAS PARA ORTODONCIA             Classic c/aroma x 1     00000000NNGrimberg        00003490020220606001103812261307798034740032000110NNN00
9942109BUCAL BOX CAJAS PARA ORTODONCIA             Croma c/aroma x 1       00000000NNGrimberg        00003490020220606001103814210907798034740346000110NNN00
9925133BUCAL GUARD                                 Protector bucal x 1u    00000000NNGrimberg        00005990020220606001103812513307798034740612000110NNN00
9945877BUCAL GUARD KIDS                            Protector bucal Ni¤os x100000000NNGrimberg        00005990020220606001103814587707798034746362000110NNN00
9918368BUCAL TAC BABY                              BabyDedal/Gaturro cep.x100000000NNGrimberg        00005790020220606001103811836807798158484058000110NNN00
9955822BUCAL TAC BIOBALANCE                        enj.buc. boca secax480ml00000000NNGrimberg        00018000020220606001103815582207798034746676000110NNN00
9957864BUCAL TAC BIOBALANCE                        spray p/boca seca x 25ml00000000NNGrimberg        00009900020220606001103815786407798034746713000110NNN00
9958906BUCAL TAC CEPILLOS DENTALES                 5680 Adultos c/cap. x 1 00000000NNGrimberg        00005290020220606011103815890607798034748557000110NNN00
9958907BUCAL TAC CEPILLOS DENTALES                 5680 p/ortod. c/cap. x 100000000NNGrimberg        00005290020220606011103815890707798034748564000110NNN00
9939465BUCAL TAC CEPILLOS DENTALES                 Classic Serie 2 cep.x 1 00000000NNGrimberg        00004390020220606011103813946507798034742111000110NNN00
9939466BUCAL TAC CEPILLOS DENTALES                 Classic Serie 3 cep.x 1 00000000NNGrimberg        00004390020220606011103813946607798034743118000110NNN00
9939467BUCAL TAC CEPILLOS DENTALES                 Classic Serie 4 cep.x 1 00000000NNGrimberg        00004390020220606011103813946707798034744146000110NNN00
9939471BUCAL TAC CEPILLOS DENTALES                 Comp.suave 4 hil.cep.x 100000000NNGrimberg        00004390020220606011103813947107798034744092000110NNN00
9945966BUCAL TAC CEPILLOS DENTALES                 Evolucion 2.1 suave x 1 00000000NNGrimberg        00005700020220606011103814596607798034743262000110NNN00
9940074BUCAL TAC CEPILLOS DENTALES                 Evolucion 3.1 suave x 1 00000000NNGrimberg        00005700020220606011103814007407798034749875000110NNN00
9941711BUCAL TAC CEPILLOS DENTALES                 Evolucion 3.6 ult.softx100000000NNGrimberg        00005700020220606011103814171107798034747383000110NNN00
9940075BUCAL TAC CEPILLOS DENTALES                 Evolucion 4.1 suave x 1 00000000NNGrimberg        00005700020220606011103814007507798034741787000110NNN00
9945967BUCAL TAC CEPILLOS DENTALES                 Evolucion Sulcus cep.x 100000000NNGrimberg        00005700020220606011103814596707798034743279000110NNN00
9954448BUCAL TAC CEPILLOS DENTALES                 Gaturro c/capuch¢n x 1  00000000NNGrimberg        00004200020220606011103815444807798158483549000110NNN00
9948237BUCAL TAC CEPILLOS DENTALES                 Travel Kit(gel+cep.+nes)00000000NNGrimberg        00007600020220606011103814823707798158489275000310NNN00
9939577BUCAL TAC CEPILLOS INTERDENTALES            Cil¡nd.X fino 1.9 mm x8u00000000NNGrimberg        00006100020220606011103813957707798034748311000810NNN00
9939576BUCAL TAC CEPILLOS INTERDENTALES            Cil¡nd.XX fino 1.7mm x8u00000000NNGrimberg        00006100020220606011103813957607798034748304000810NNN00
9939578BUCAL TAC CEPILLOS INTERDENTALES            Cil¡nd.fino 2.5 mm x 8u.00000000NNGrimberg        00006100020220606011103813957807798034748328000810NNN00
9939579BUCAL TAC CEPILLOS INTERDENTALES            Cil¡nd.stand. 3 mm x 8u.00000000NNGrimberg        00006100020220606011103813957907798034748335000810NNN00
9939582BUCAL TAC CEPILLOS INTERDENTALES            C¢nico fino 2.1/4.6mmx8u00000000NNGrimberg        00006100020220606011103813958207798034748366000810NNN00
9939583BUCAL TAC CEPILLOS INTERDENTALES            C¢nico stand.3/7 mm x8u.00000000NNGrimberg        00006100020220606011103813958307798034748373000810NNN00
9939775BUCAL TAC CEPILLOS INTERDENTALES            Kit Prox.Syst.(mgo+rpto)00000000NNGrimberg        00006100020220606011103813977507798034748472000110NNN00
9950999BUCAL TAC CEPILLOS INTERDENTALES            Mgo + 3 u. de repuesto  00000000NNGrimberg        00006200020220606011103815099907798158481699000410NNN00
9948472BUCAL TAC CERAS PARA ORTODONCIA             Barras x 6 s/mta.20%grat00000000NNGrimberg        00004200020220606001103814847207798158482481000610NNN00
9948471BUCAL TAC CERAS PARA ORTODONCIA             Barras x 6 s/sab.20%grat00000000NNGrimberg        00004200020220606001103814847107798158482474000610NNN00
9959216BUCAL TAC CREMA DENTAL                      Antic.remine.prote.x 20g00000000NNGrimberg        00002760020220606001103815921607798034743125000110NNN00
9953665BUCAL TAC CREMA DENTAL                      Antic.remine.prote.x100g00000000NNGrimberg        00006990020220606001103815366507798158482641000130NNN00
9953669BUCAL TAC CREMA DENTAL                      Gaturro x 90g           00000000NNGrimberg        00004950020220606001103815366907798158483556000110NNN00
9951354BUCAL TAC ENJUAGUES BUCALES                 Antiplaca Antibac.x240ml00000000NNGrimberg        00007500020220606001103815135407798158481453000110NNN00
9946065BUCAL TAC ENJUAGUES BUCALES                 Fluor y Xilitol x 500 ml00000000NNGrimberg        00008800020220606001103814606507798034742753000110NNN00
9935559BUCAL TAC GEL DENTAL                        HyperSensitive gel x100g00000000NNGrimberg        00006990020220606001103813555907798034749622000110NNN00
9942344BUCAL TAC GEL DENTAL                        Whitening gel Blanc.100g00000000NNGrimberg        00006990020220606001103814234407798034747406000110NNN00
